ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985-1989,1990-1994,1995,1996,1997,1998,1999,2000-1,2000-2,2001-1,2001-2,2002-1,2002-2,2003-1,2003-2,2004-1,2004-2,2005-1,2005-2,2006-1,2006-2,2007-1,2007-2,2008-1,2008-2,2009-1,2009-2
5500,967,Magenta,2002,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5501,967,Magenta,2002,5/4/2007,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
5502,967,Magenta,2002,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5503,967,Magenta,2002,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5504,967,Magenta,2002,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5505,967,Magenta,2002,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5506,967,Magenta,2002,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5507,967,Magenta,2002,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5508,967,Magenta,2002,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5509,967,Magenta,2002,2/5/2005,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5510,967,Magenta,2002,12/31/2002,,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5511,967,Magenta,2002,12/18/2003,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
5512,967,Magenta,2002,7/10/2007,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
5513,967,Magenta,2002,12/8/2003,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
5514,967,Magenta,2002,8/12/2003,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
5515,967,Magenta,2002,12/8/2003,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
5516,967,Magenta,2002,7/10/2007,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
5517,967,Magenta,2002,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
