Operation_ID,Op_role,ID,Tie_ID,Tie_Year,Tie_Extinguish,kinship,1975-1983,1983-1984,1985,1986,1987,1988,1989,1990_1994,1995,1996,1997,1998,1999,2000_1,2000_2,2001_1,2001_2,2002_1,2002_2,2003_1
"79,83,86",,5500,5517,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"90,91",,5500,5506,1995,2002,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,
"83,86,87,88,89,90,91",,5500,5503,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5500,5501,1975,2002,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,82,83,84,86,87,88,89,90,91",,5500,5502,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,83",,5500,5504,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,82,83,85",,5500,5505,1985,2002,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"85,86",,5500,5507,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5500,5508,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5500,5513,1986,2002,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5500,5509,1975,2002,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
84,,5500,5511,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5500,5512,1988,2002,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5500,5510,1975,2002,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5500,5514,1998,2002,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,
,,5500,5515,1985,2002,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
84,,5500,5516,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5501,5500,1975,2002,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"79,83,86",,5502,5517,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"90,91",,5502,5506,1995,2002,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,
"83,86,87,88,89,90,91",,5502,5503,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5502,5515,1990,2002,5,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,
"83,86",,5503,5517,1983,2002,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
"90,91",,5503,5506,1995,2002,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,
"83,86,87,88,89,90,91",,5503,5502,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,83",,5503,5504,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,83,85",,5503,5505,1985,2002,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
86,,5503,5507,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
84,,5503,5511,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5503,5515,1984,2002,5,0,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,
89,,5503,5516,1991,2002,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,
"79,83,",,5504,5517,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,83",,5504,5503,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,83,",,5504,5502,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,83",,5504,5505,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"79,83",,5505,5517,1985,2002,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,83,85",,5505,5503,1985,2002,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,82,83,",,5505,5502,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,83",,5505,5504,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
85,,5505,5507,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5506,5517,1995,2002,3,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2,2,2,2,
"90,91",,5506,5503,1995,2002,3,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2,2,2,2,
"90,91",,5506,5502,1995,2002,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,
,,5506,5514,1998,2002,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,
86,,5507,5517,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
86,,5507,5503,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
86,,5507,5502,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
85,,5507,5505,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5507,5508,1987,2002,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
,,5508,5507,1987,2002,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
,,5509,5512,1988,2002,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
,,5509,5510,1975,2002,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
,,5510,5509,1975,2002,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
,,5510,5512,1988,2002,2,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
"84,",,5511,5502,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
84,,5511,5516,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5512,5510,1988,2002,2,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
,,5512,5509,1988,2002,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
,,5513,5500,1986,2002,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5514,5506,1998,2002,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,
,,5515,5503,1984,2002,5,0,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,
,,5515,5502,1990,2002,5,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,
89,,5516,5503,1991,2002,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,
89,,5516,5502,1991,2002,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,
,,5517,5506,1995,2002,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,
"83,86",,5517,5503,1983,2002,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
"79,83,86,",,5517,5502,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"79,83",,5517,5504,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"79,83,",,5517,5505,1985,2002,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"86,",,5517,5507,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"79,83,86",,5517,5500,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"90,91",,5506,5500,1995,2002,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,
"83,86,87,88,89,90,91",,5503,5500,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,82,83,84,86,87,88,89,90,91",,5502,5500,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,83",,5504,5500,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,82.83,85",,5505,5500,1985,2002,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"85,86",,5507,5500,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5508,5500,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5509,5500,1975,2002,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
84,,5511,5500,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5512,5500,1988,2002,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5510,5500,1975,2002,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,5514,5500,1998,2002,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,
,,5515,5500,1985,2002,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
84,,5516,5500,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
84,,5511,5503,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,83,",,5502,5504,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"77,79,82,83,",,5502,5505,1983,2002,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
86,,5502,5507,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
84,,5502,5511,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
89,,5502,5516,1991,2002,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,
84,,5516,5511,1987,2002,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
